"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37349","Can swap USDC to Naira","","Thu Jan 30 13:55:58 UTC 2025","broken","Thu Jan 30 13:56:35 UTC 2025","","Token Swap","",""
"","54419","Create Naira Deposit Transaction","","Thu Jan 30 13:47:35 UTC 2025","broken","Thu Jan 30 13:48:30 UTC 2025","","Deposit","",""
"","37045","Cannot swap USDT to Naira with low balance","","Thu Jan 30 13:54:09 UTC 2025","broken","Thu Jan 30 13:54:46 UTC 2025","","Token Swap","",""
"","13713","Login with valid credentials","","Thu Jan 30 13:49:59 UTC 2025","passed","Thu Jan 30 13:50:13 UTC 2025","","Authentication","",""
"","32568","Attempt to change password with invalid current password","","Thu Jan 30 13:51:59 UTC 2025","passed","Thu Jan 30 13:52:31 UTC 2025","","Password change","",""
"","40494","Apply for Naira loan","","Thu Jan 30 13:48:36 UTC 2025","broken","Thu Jan 30 13:49:16 UTC 2025","","Loan","",""
"","31385","Push notifications enabled during login","","Thu Jan 30 13:51:21 UTC 2025","broken","Thu Jan 30 13:51:53 UTC 2025","","Push Notification Settings","",""
"","32065","Logout after login","","Thu Jan 30 13:50:13 UTC 2025","broken","Thu Jan 30 13:50:45 UTC 2025","","Authentication","",""
"","46961","Send USDT to a wallet address","","Thu Jan 30 13:52:37 UTC 2025","passed","Thu Jan 30 13:53:24 UTC 2025","","Send Cryptocurrency","",""
"","36973","Repay latest loan in full","","Thu Jan 30 13:49:16 UTC 2025","broken","Thu Jan 30 13:49:53 UTC 2025","","Loan","",""
"","32857","Signup with valid credentials","","Thu Jan 30 13:53:30 UTC 2025","passed","Thu Jan 30 13:54:03 UTC 2025","","Create new user","",""
"","36438","Attempt to change transaction pin with same pin","","Thu Jan 30 13:56:41 UTC 2025","passed","Thu Jan 30 13:57:18 UTC 2025","","Transaction Pin Management","",""
"","35548","Can swap USDT to Naira","","Thu Jan 30 13:55:22 UTC 2025","broken","Thu Jan 30 13:55:58 UTC 2025","","Token Swap","",""
"","75273","Deposit USDT to wallet","","Thu Jan 30 13:45:43 UTC 2025","broken","Thu Jan 30 13:46:58 UTC 2025","","Deposit","",""
"","30578","Enable push notifications from profile settings","","Thu Jan 30 13:50:51 UTC 2025","broken","Thu Jan 30 13:51:21 UTC 2025","","Push Notification Settings","",""
"","36594","Cannot swap USDC to Naira with low balance","","Thu Jan 30 13:54:46 UTC 2025","broken","Thu Jan 30 13:55:22 UTC 2025","","Token Swap","",""
"","36869","Deposit USDC to wallet","","Thu Jan 30 13:46:58 UTC 2025","passed","Thu Jan 30 13:47:35 UTC 2025","","Deposit","",""
